TSLA,GOOG,META,AAPL,MSFT,AMZN,NVDA,V,ORCL,CSCO
110416500,50914126,46026500,185488800,23582200,58532000,29014400,9120400,13081900,23567000
117184500,60831159,38927000,220729600,26591600,45596000,26845200,8971200,13821500,33180000
115921500,48766105,59871600,178584000,19006600,42116000,30088800,7350400,8670300,26163300
132151500,68776830,59408300,279224400,25216400,44922000,29722000,11062800,12841500,34642200
146316000,78866507,46340500,199326400,30494100,44332000,23942800,9394800,13226200,31854300
93544500,94175675,57091000,257742800,32169700,136580000,38517200,11996400,15361200,42144400
124345500,92099924,48227000,237199200,27195600,88044000,46004800,13692000,14308300,38256700
88689000,86808163,52197000,199544800,20479600,46060000,29965600,8800000,14981300,33221900
93634500,72872123,40827000,209647200,64063900,49670000,29390400,8304800,29707200,45849600
76069500,64757822,43981000,224756000,35597200,52934000,36616800,7888800,45154900,32674300
57268500,67640587,44439000,208398400,59269800,51170000,19180000,11890000,18960200,34952800
123253500,128821050,59999900,374046400,80721800,108282000,56611600,38092400,33897900,97372900
169932000,121939352,85696000,355700800,46098400,97470000,30609600,18228400,22539000,32782100
117981000,96769361,68786000,282293200,43193100,88914000,30442400,11675200,19750600,53374300
103609500,103586819,97503900,299768000,41977500,82414000,55775600,10657200,31357500,67098900
142435500,262719,112650000,222031600,35369200,115328000,54072800,10489600,26283600,52152300
145272000,824257,67052000,200564000,43472700,79736000,39882000,14950000,18405100,49289400
125700000,216593,53011000,168669200,46886300,85950000,27340400,11639200,48340300,32887800
110571000,158434,59291000,200760000,32605000,72002000,65627200,9090400,35431800,80106400
161734500,2942055,66277000,180420800,28666700,89510000,23994800,9344800,22754900,38363700
163855500,101983228,83859000,162344000,30139600,127986000,59954800,14210400,22497000,30311200
170184000,127386783,125214400,275251200,51409600,250692000,36803200,24449200,23836200,49382300
147832500,88033033,108488000,289850400,37559600,141548000,42857600,40124000,27311900,55317100
103339500,63024560,78836000,243888400,35918600,131552000,47069200,21745600,22197600,37373900
77368500,66616395,100215000,206169600,27398700,101132000,42196800,19142800,20314000,37888600
108172500,80737057,114988000,239652000,45960800,122534000,37274800,20403600,26397800,53927000
136008000,78496923,91452000,271717600,34330200,145750000,35311200,29939600,18655800,47253900
115545000,51501009,72325000,205674000,32006600,85870000,29018400,20925600,16022000,35804300
204889500,77101101,108623000,266490000,33968700,107972000,30463600,19214000,14553400,29845400
108033000,97865955,78774000,214765600,30615800,85698000,23513600,15832800,13614800,31451900
88902000,136190888,88040000,284334400,36688400,85984000,15353200,13364000,14644100,47813400
78873000,51334553,60364000,182548800,22221200,59988000,11700400,10012400,8593600,38795200
147070500,47307527,60631000,202563200,27056700,74232000,25512000,9840000,10396100,28725000
109434000,41046384,95908700,394940000,24602800,72092000,26158000,8819600,10048500,29972800
82428000,37663121,138769000,759911600,42381600,185874000,39149200,13547200,13966400,33976700
